judet,localitate,tip artera,denumire artera,numar,codpostal,sector
Bucuresti,Bucuresti,Stradă,Petru Maior,nr. 2-68,11264,1
Bucuresti,Bucuresti,Stradă,Petru Maior,nr. 70-80,11265,1
Bucuresti,Bucuresti,Stradă,"Cocărăscu Octav, cpt.",nr. 49-T,11293,1
Bucuresti,Bucuresti,Stradă,"Cocărăscu Octav, cpt.",nr. 56-T,11295,1
Bucuresti,Bucuresti,Stradă,"Gala Galaction, scriitor",nr. 1-T,11305,1
Bucuresti,Bucuresti,Stradă,"Gala Galaction, scriitor",nr. 2-T,11306,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 93-107,11176,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 109-113,11177,1
Bucuresti,Bucuresti,Stradă,Bariţiu George,nr. 1-T,11296,1
Bucuresti,Bucuresti,Stradă,Bariţiu George,nr. 2-T,11297,1
Bucuresti,Bucuresti,Stradă,Golescu Iordache,nr. 1-11,11301,1
Bucuresti,Bucuresti,Stradă,Golescu Iordache,nr. 2-10,11303,1
Bucuresti,Bucuresti,Stradă,"Zablovschi, ing.",nr. 1-45,11311,1
Bucuresti,Bucuresti,Stradă,"Zablovschi, ing.",nr. 47-T,11312,1
Bucuresti,Bucuresti,Stradă,"Zablovschi, ing.",nr. 2-T,11313,1
Bucuresti,Bucuresti,Intrare,"Zablovschi, ing.",,11314,1
Bucuresti,Bucuresti,Stradă,Abrud,nr. 1-T,11315,1
Bucuresti,Bucuresti,Stradă,Abrud,nr. 2-60,11316,1
Bucuresti,Bucuresti,Stradă,Abrud,nr. 62-114,11317,1
Bucuresti,Bucuresti,Stradă,Abrud,nr. 116-T,11318,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 42-52,11193,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 54-58,11194,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 60-62,11195,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 64-84,11196,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 86-94,11197,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 96-98,11198,1
Bucuresti,Bucuresti,Piaţă,1 Mai,,11376,1
Bucuresti,Bucuresti,Intrare,Serdarului,nr. 1-9,11377,1
Bucuresti,Bucuresti,Intrare,Serdarului,nr. 11-T,11378,1
Bucuresti,Bucuresti,Intrare,Serdarului,nr. 2-T,11379,1
Bucuresti,Bucuresti,Stradă,"Felix Iacob, dr.",nr. 95-97,11035,1
Bucuresti,Bucuresti,Stradă,"Felix Iacob, dr.",nr. 99-T,11036,1
Bucuresti,Bucuresti,Stradă,"Felix Iacob, dr.",nr. 66-T,11041,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 1-27,11171,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 2-28,11191,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 30-40,11192,1
Bucuresti,Bucuresti,Stradă,Monetăriei,,11216,1
Bucuresti,Bucuresti,Intrare,Nopţii,,11217,1
Bucuresti,Bucuresti,Stradă,Jitia,,11218,1
Bucuresti,Bucuresti,Piaţetă,Allama Igbal,,11219,1
Bucuresti,Bucuresti,Şosea,"Kiseleff Pavel Dimitrievici, g-ral.",nr. 1-7,11341,1
